,,,,,,,,,,,
Fidelity National Information Services Inc (FIS US) - Standardized,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019
12 Months Ending,,12/31/2010,12/31/2011,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019
Total Assets,,,,,,,,,,,
"  + Cash, Cash Equivalents & STI",C&CE_AND_STI_DETAILED,338.0,415.5,517.6,547.5,492.8,682.0,683.0,665.0,703.0,"1,152.0"
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,338.0,415.5,517.6,547.5,492.8,682.0,683.0,665.0,703.0,"1,152.0"
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,839.4,858.5,925.7,987.9,"1,126.4","1,893.0","1,814.0","1,915.0","1,753.0","3,889.0"
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,839.4,858.5,925.7,987.9,"1,126.4","1,731.0","1,639.0","1,624.0","1,472.0","3,242.0"
"    + Notes Receivable, Net",NOTES_RECEIVABLE,0.0,0.0,0.0,0.0,0.0,162.0,175.0,291.0,281.0,647.0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,108.0,123.0,124.0
  + Inventories,BS_INVENTORIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    + Raw Materials,INVTRY_RAW_MATERIALS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    + Work In Process,INVTRY_IN_PROGRESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    + Finished Goods,INVTRY_FINISHED_GOODS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    + Other Inventory,BS_OTHER_INV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,495.6,400.0,400.9,816.5,853.9,934.0,"1,785.0","1,000.0","1,154.0","3,527.0"
    + Derivative & Hedging Assets,BS_DERIV_&_HEDGING_ASSETS_ST,0.0,0.0,0.0,Ñ,0.0,0.0,Ñ,Ñ,0.0,Ñ
    + Assets Held-for-Sale,BS_ASSETS_HELD_FOR_SALE_ST,17.4,Ñ,0.0,0.0,6.8,0.0,863.0,0.0,0.0,0.0
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_ST,58.1,74.0,55.9,58.9,67.4,100.0,101.0,0.0,0.0,0.0
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,420.1,326.0,345.0,757.6,779.7,834.0,821.0,"1,000.0","1,154.0","3,527.0"
Total Current Assets,BS_CUR_ASSET_REPORT,"1,673.0","1,674.0","1,844.2","2,351.9","2,473.1","3,509.0","4,282.0","3,688.0","3,733.0","8,692.0"
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,390.0,414.5,419.5,439.0,483.3,611.0,626.0,610.0,587.0,"1,464.0"
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,787.6,882.7,975.5,"1,077.4","1,204.4","1,396.0","1,488.0","1,657.0","1,645.0","2,741.0"
    - Accumulated Depreciation,BS_ACCUM_DEPR,397.6,468.2,556.0,638.4,721.1,785.0,862.0,"1,047.0","1,058.0","1,277.0"
  + LT Investments & Receivables,BS_LT_INVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,"12,113.3","11,784.7","11,286.0","11,169.2","11,564.1","22,080.0","21,123.0","20,228.0","19,450.0","73,650.0"
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,"11,916.1","11,560.3","11,015.9","10,902.6","11,252.2","21,741.0","20,760.0","19,697.0","18,947.0","71,911.0"
    + Goodwill,BS_GOODWILL,"8,550.0","8,542.8","8,381.5","8,500.0","8,877.6","14,745.0","14,178.0","13,730.0","13,545.0","52,242.0"
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,"3,366.1","3,017.5","2,634.4","2,402.6","2,374.6","6,996.0","6,582.0","5,967.0","5,402.0","19,669.0"
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,Ñ,Ñ,Ñ,Ñ,9.5,22.0,25.0,30.0,32.0,38.0
    + Derivative & Hedging Assets,BS_DERIV_&_HEDGING_ASSETS_LT,0.0,0.0,0.0,Ñ,0.0,1.0,Ñ,0.0,0.0,Ñ
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,197.2,224.4,270.1,266.6,302.4,316.0,338.0,501.0,471.0,"1,701.0"
