,,,,,,,,,,,
Microchip Technology Inc (MCHP US) - Adjusted,,,,,,,,,,,
,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,Last 12M,FY 2021 Est,FY 2022 Est
12 Months Ending,,03/31/2014,03/31/2015,03/31/2016,03/31/2017,03/31/2018,03/31/2019,03/31/2020,09/30/2020,03/31/2021,03/31/2022
Revenue,SALES_REV_TURN,"1,931.2","2,147.0","2,173.3","3,407.8","3,980.8","5,349.5","5,274.2","5,233.0","5,356.7","5,920.1"
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,"1,931.2","2,147.0","2,173.3","3,407.8","3,980.8","5,349.5","5,274.2","5,233.0",,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,802.5,917.5,967.8,"1,650.6","1,560.1","2,418.2","2,032.1","2,027.4",,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,802.5,917.5,967.8,"1,650.6","1,560.1","2,418.2","2,032.1","2,027.4",,
Gross Profit,GROSS_PROFIT,"1,128.7","1,229.6","1,205.5","1,757.2","2,420.7","2,931.3","3,242.1","3,205.6","3,339.2","3,739.7"
  + Other Operating Income,IS_OTHER_OPER_INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
  - Operating Expenses,IS_OPERATING_EXPN,664.2,780.8,818.5,"1,153.8","1,462.8","2,139.2","2,512.5","2,407.2",,
"    + Selling, General & Admin",IS_SG&A_EXPENSE,267.3,270.8,301.7,472.6,442.0,641.0,640.9,605.7,,
    + Research & Development,IS_OPEX_R&D,305.0,349.5,372.6,545.3,529.3,824.9,877.7,836.7,,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,91.9,160.4,144.2,135.9,491.5,673.3,993.9,964.8,,
Operating Income (Loss),IS_OPER_INC,464.5,448.8,387.0,603.4,957.9,792.1,729.6,798.4,"2,093.7","2,392.6"
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,28.2,47.6,83.0,140.7,167.5,491.2,493.9,428.1,,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,32.2,42.5,79.6,143.2,177.0,494.8,494.5,425.8,,
    + Interest Expense,IS_INT_EXPENSE,48.7,62.0,104.0,146.3,199.0,502.9,497.3,427.5,,
    - Interest Income,IS_INT_INC,16.5,19.5,24.4,3.1,22.0,8.1,2.8,1.7,,
    + Foreign Exch (Gain) Loss,IS_FOREIGN_EXCH_LOSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,0.2,0.3,0.3,0.2,0.2,0.2,0.0,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,-4.2,4.7,3.1,-2.7,-9.7,-3.8,-0.6,2.3,,
"Pretax Income (Loss), Adjusted",PRETAX_INC,436.3,401.2,304.1,462.7,790.4,300.9,235.7,370.3,"1,793.4","2,117.6"
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,4.0,55.3,22.8,372.9,53.1,96.4,85.3,135.6,,
    + Merger/Acquisition Expense,IS_MERGER_ACQUISITION_EXPENSE,2.7,18.1,34.8,217.7,10.1,44.1,35.8,21.7,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,—,—,-1.0,-0.1,-5.9,—,—,,,
    + Early Extinguishment of Debt,IS_G_L_ON_EXT_DBT_OR_SETTLE_DBT,—,50.6,—,43.9,16.0,12.6,5.4,75.4,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,—,0.4,—,—,—,—,—,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,—,1.9,0.6,11.9,0.5,—,—,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,—,—,—,—,—,—,—,,,
    + Restructuring,IS_RESTRUCTURING_EXPENSES,3.0,2.8,4.0,—,—,—,—,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,-2.4,-18.5,-16.0,—,—,6.0,-2.6,,,
    + Unrealized Investments,IS_UNREALIZED_INVESTMENTS,—,—,4.0,1.4,15.5,—,—,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,0.7,—,-3.6,98.1,16.9,33.7,46.7,23.9,,
